min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
100,5,eom,euclidean,best,2.0,0.20667832,1.6721394985420726,31922.150798701223,0.379521438099744,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,5,eom,manhattan,best,0.5,0.10424584,1.4534212568112967,28152.120455244745,0.2669022417341813,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,5,eom,manhattan,best,2.0,0.10424584,1.4534212568112967,28152.120455244745,0.2669022417341813,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,10,eom,euclidean,best,0.5,0.20709532,1.4976452245949425,31987.48859653627,0.26889625625680097,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,10,eom,euclidean,best,2.0,0.20709532,1.4976452245949425,31987.48859653627,0.26889625625680097,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,10,eom,manhattan,best,0.5,0.10202464,1.5020773823972295,27976.859612988217,0.26845394041301923,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,10,eom,manhattan,best,2.0,0.10202464,1.5020773823972295,27976.859612988217,0.26845394041301923,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,20,eom,euclidean,best,0.5,0.21072644,1.6434729372615742,32236.128555362215,0.9582240395832353,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,20,eom,euclidean,best,2.0,0.21072644,1.6434729372615742,32236.128555362215,0.9582240395832353,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,20,eom,manhattan,best,0.5,0.2115464,1.6409545146091986,32255.655176729175,0.2743292532385257,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
100,20,eom,manhattan,best,2.0,0.2115464,1.6409545146091986,32255.655176729175,0.2743292532385257,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,1,eom,euclidean,best,0.5,0.3394909,1.2036442501483844,57480.801183616495,0.27159104202948986,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,1,eom,euclidean,best,2.0,0.3394909,1.2036442501483844,57480.801183616495,0.27159104202948986,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,1,eom,manhattan,best,0.5,0.34327927,1.2862316555358881,57384.29151779061,0.26595214333141726,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,1,eom,manhattan,best,2.0,0.34327927,1.2862316555358881,57384.29151779061,0.26595214333141726,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,2,eom,euclidean,best,0.5,0.33882862,1.2077304133154725,57486.05665379488,0.2674747436273917,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,2,eom,euclidean,best,2.0,0.33882862,1.2077304133154725,57486.05665379488,0.2674747436273917,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,2,eom,manhattan,best,0.5,0.34258628,1.2883847799697699,57381.527423920226,0.26551546415710736,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,2,eom,manhattan,best,2.0,0.34258628,1.2883847799697699,57381.527423920226,0.26551546415710736,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,5,eom,euclidean,best,0.5,0.33892265,1.1835458334622684,57467.37062488737,0.26630747246466163,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,5,eom,euclidean,best,2.0,0.33892265,1.1835458334622684,57467.37062488737,0.26630747246466163,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,5,eom,manhattan,best,0.5,0.34100354,1.318252079849436,57354.893612398424,0.2643836677198653,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,5,eom,manhattan,best,2.0,0.34100354,1.318252079849436,57354.893612398424,0.2643836677198653,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,10,eom,euclidean,best,0.5,0.3483356,0.9372368394351742,57530.750059362355,0.2672522279936981,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,10,eom,euclidean,best,2.0,0.3483356,0.9372368394351742,57530.750059362355,0.2672522279936981,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,10,eom,manhattan,best,0.5,0.33814672,1.1288709101520527,57428.13998426627,0.26373407594467674,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,10,eom,manhattan,best,2.0,0.33814672,1.1288709101520527,57428.13998426627,0.26373407594467674,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,20,eom,euclidean,best,0.5,0.35600254,1.7883261151730059,44955.239148061046,0.9450224922519641,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,20,eom,euclidean,best,2.0,0.35600254,1.7883261151730059,44955.239148061046,0.9450224922519641,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
200,20,eom,manhattan,best,0.5,0.37998357,1.7104141330607812,45025.38386556689,0.2699618012095477,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
